AGE,SCHOOL TYPE,GENDER,CASTE,FAMILY INCOME,OCCUPATION,MARRIED(YES/NO),ACADEMIC MARKS,NO OF SIBLINGS,WORK(YES/NO),CLASS,LOCATION,DROPOUT
17,GOVT,M,OBC,84516,LABOUR,YES,55,2,YES,4,RURAL,Y
17,GOVT,F,GEN,140148,ACCOUNTANT,YES,81,3,NO,10,RURAL,Y
16,PVT,F,GEN,108848,ACCOUNTANT,NO,62,3,NO,8,URBAN,N
18,GOVT,F,GEN,94785,PEON,NO,76,2,NO,10,RURAL,Y
12,GOVT,F,OBC,90919,TEACHER,NO,65,3,YES,3,RURAL,Y
18,PVT,F,GEN,135005,ACCOUNTANT,YES,89,2,NO,10,URBAN,N
13,GOVT,M,OBC,59000,PEON,NO,59,3,YES,5,RURAL,Y
18,GOVT,M,GEN,231500,TEACHER,NO,83,2,YES,12,URBAN,Y
16,PVT,F,GEN,111798,ACCOUNTANT,NO,89,4,NO,8,URBAN,Y
16,GOVT,M,GEN,220367,PEON,NO,58,3,YES,10,RURAL,Y
11,GOVT,M,GEN,130053,TEACHER,NO,55,4,YES,5,URBAN,Y
18,PVT,F,OBC,165253,LABOUR,NO,73,1,YES,12,RURAL,Y
14,GOVT,M,SC,59000,LABOUR,NO,59,5,YES,4,RURAL,Y
15,PVT,F,GEN,234147,ACCOUNTANT,YES,89,2,NO,10,RURAL,N
15,PVT,F,GEN,300000,ACCOUNTANT,YES,89,2,NO,8,URBAN,N
13,GOVT,M,OBC,123465,PEON,NO,70,2,YES,5,RURAL,Y
18,PVT,F,OBC,204669,ACCOUNTANT,YES,89,2,NO,9,URBAN,Y
12,GOVT,M,OBC,110390,LABOUR,NO,61,4,YES,5,RURAL,Y
14,GOVT,M,ST,59000,LABOUR,YES,64,5,YES,4,RURAL,Y
13,GOVT,M,ST,93292,ACCOUNTANT,NO,60,4,NO,5,RURAL,N
14,GOVT,F,GEN,122035,ACCOUNTANT,NO,61,2,NO,4,RURAL,N
17,GOVT,M,OBC,136422,ACCOUNTANT,YES,75,1,YES,5,RURAL,Y
12,GOVT,M,ST,59000,TEACHER,YES,55,4,NO,3,URBAN,Y
16,PVT,F,GEN,238327,ACCOUNTANT,YES,82,2,NO,8,URBAN,N
